algorithm_name,size,solution,generations,time,conflicts
genetic,8,"[2, 3, 7, 0, 2, 6, 4, 1]",1000,13.500862836837769,3
genetic2,8,"[5, 5, 3, 4, 0, 1, 4, 6]",999,12.921109199523926,6
hill_climbing,8,"[5, 2, 6, 3, 7, 4, 1, 0]",280,0.0016372203826904297,1
simulated_annealing,8,"[5, 3, 6, 0, 7, 1, 4, 2]",91,0.002778291702270508,0
genetic,8,"[6, 3, 1, 7, 5, 0, 2, 4]",59,0.7970552444458008,0
genetic2,8,"[5, 0, 3, 6, 6, 2, 0, 4]",999,12.926562547683716,4
hill_climbing,8,"[6, 4, 1, 5, 0, 2, 7, 3]",224,0.0012993812561035156,1
simulated_annealing,8,"[4, 0, 7, 3, 1, 6, 2, 5]",391,0.012068986892700195,0
genetic,8,"[1, 5, 0, 6, 3, 7, 2, 4]",291,3.934889793395996,0
genetic2,8,"[4, 1, 7, 4, 0, 5, 6, 0]",999,13.122570753097534,7
hill_climbing,8,"[6, 0, 7, 1, 4, 2, 5, 3]",280,0.001657724380493164,1
simulated_annealing,8,"[5, 2, 6, 3, 0, 7, 1, 4]",476,0.014589786529541016,0
genetic,8,"[7, 1, 4, 2, 0, 6, 3, 5]",407,5.523253679275513,0
genetic2,8,"[5, 2, 4, 7, 0, 3, 1, 6]",15,0.209336519241333,0
hill_climbing,8,"[2, 6, 1, 7, 5, 3, 0, 4]",280,0.0016586780548095703,0
simulated_annealing,8,"[5, 3, 0, 4, 7, 4, 6, 1]",1000,0.030498981475830078,1
genetic,8,"[5, 3, 6, 0, 2, 4, 1, 7]",771,10.485623359680176,0
genetic2,8,"[6, 2, 5, 7, 0, 7, 5, 7]",999,12.929788827896118,4
hill_climbing,8,"[2, 0, 7, 3, 1, 6, 4, 0]",280,0.0016584396362304688,1
simulated_annealing,8,"[5, 7, 4, 1, 3, 6, 6, 2]",1000,0.030652999877929688,1
genetic,8,"[0, 6, 4, 7, 1, 3, 5, 2]",661,8.972242832183838,0
genetic2,8,"[4, 0, 5, 4, 1, 5, 7, 6]",999,12.929279088973999,6
