Size,Dirt Rate,Performance,Time
16x16,0.2,0.58984375,1000
16x16,0.2,0.74609375,1000
16x16,0.2,0.609375,1000
16x16,0.2,0.82421875,1000
16x16,0.2,0.765625,1000
16x16,0.2,0.58984375,1000
16x16,0.2,0.82421875,1000
16x16,0.2,0.62890625,1000
16x16,0.2,0.62890625,1000
16x16,0.2,0.6875,1000
16x16,0.4,0.6875,1000
16x16,0.4,0.541015625,1000
16x16,0.4,0.84375,1000
16x16,0.4,0.74609375,1000
16x16,0.4,0.78515625,1000
16x16,0.4,0.833984375,1000
16x16,0.4,0.70703125,1000
16x16,0.4,0.62890625,1000
16x16,0.4,0.775390625,1000
16x16,0.4,0.580078125,1000
16x16,0.8,0.677734375,1000
16x16,0.8,0.736328125,1000
16x16,0.8,0.658203125,1000
16x16,0.8,0.619140625,1000
16x16,0.8,0.775390625,1000
16x16,0.8,0.7119140625,1000
16x16,0.8,0.833984375,1000
16x16,0.8,0.609375,1000
16x16,0.8,0.765625,1000
16x16,0.8,0.833984375,1000
32x32,0.1,0.17968750000000006,1000
32x32,0.1,0.22851562500000006,1000
32x32,0.1,0.32617187500000006,1000
32x32,0.1,0.23828125000000006,1000
32x32,0.1,0.32617187500000006,1000
32x32,0.1,0.29687500000000006,1000
32x32,0.1,0.34570312500000006,1000
32x32,0.1,0.23828125000000006,1000
32x32,0.1,0.35546875000000006,1000
32x32,0.1,0.35546875000000006,1000
32x32,0.2,0.31640625000000006,1000
32x32,0.2,0.32128906250000006,1000
32x32,0.2,0.29199218750000006,1000
32x32,0.2,0.23828125000000006,1000
32x32,0.2,0.36035156250000006,1000
32x32,0.2,0.21875000000000006,1000
32x32,0.2,0.36523437500000006,1000
32x32,0.2,0.32128906250000006,1000
32x32,0.2,0.25781250000000006,1000
32x32,0.2,0.26269531250000006,1000
32x32,0.4,0.30664062500000006,1000
32x32,0.4,0.17236328125000006,1000
32x32,0.4,0.28466796875000006,1000
32x32,0.4,0.30908203125000006,1000
32x32,0.4,0.29199218750000006,1000
32x32,0.4,0.23095703125000006,1000
32x32,0.4,0.30419921875000006,1000
32x32,0.4,0.19433593750000006,1000
32x32,0.4,0.33593750000000006,1000
32x32,0.4,0.28222656250000006,1000
32x32,0.8,0.33105468750000006,1000
32x32,0.8,0.23461914062500006,1000
32x32,0.8,0.27856445312500006,1000
32x32,0.8,0.18701171875000006,1000
32x32,0.8,0.18334960937500006,1000
32x32,0.8,0.17846679687500006,1000
32x32,0.8,0.32495117187500006,1000
32x32,0.8,0.22607421875000006,1000
32x32,0.8,0.15771484375000006,1000
32x32,0.8,0.26635742187500006,1000
64x64,0.1,0.07714843750000006,1000
64x64,0.1,0.06250000000000006,1000
64x64,0.1,0.08691406250000006,1000
64x64,0.1,0.055175781250000056,1000
64x64,0.1,0.09667968750000006,1000
64x64,0.1,0.06494140625000006,1000
64x64,0.1,0.06250000000000006,1000
64x64,0.1,0.09179687500000006,1000
64x64,0.1,0.08935546875000006,1000
64x64,0.1,0.07470703125000006,1000
64x64,0.2,0.06982421875000006,1000
64x64,0.2,0.07958984375000006,1000
64x64,0.2,0.08935546875000006,1000
64x64,0.2,0.10644531250000006,1000
64x64,0.2,0.09179687500000006,1000
64x64,0.2,0.09057617187500006,1000
64x64,0.2,0.08935546875000006,1000
64x64,0.2,0.10278320312500006,1000
64x64,0.2,0.08325195312500006,1000
64x64,0.2,0.07348632812500006,1000
64x64,0.4,0.07653808593750006,1000
64x64,0.4,0.07348632812500006,1000
64x64,0.4,0.07653808593750006,1000
64x64,0.4,0.10949707031250006,1000
64x64,0.4,0.058837890625000056,1000
64x64,0.4,0.10095214843750006,1000
64x64,0.4,0.09973144531250006,1000
64x64,0.4,0.10583496093750006,1000
64x64,0.4,0.06311035156250006,1000
64x64,0.4,0.07897949218750006,1000
64x64,0.8,0.07196044921875006,1000
64x64,0.8,0.07135009765625006,1000
64x64,0.8,0.07135009765625006,1000
64x64,0.8,0.06616210937500006,1000
64x64,0.8,0.07135009765625006,1000
64x64,0.8,0.06951904296875006,1000
64x64,0.8,0.07714843750000006,1000
64x64,0.8,0.07257080078125006,1000
64x64,0.8,0.07653808593750006,1000
64x64,0.8,0.09942626953125006,1000
128x128,0.1,0.014282226562500056,1000
128x128,0.1,0.022216796875000056,1000
128x128,0.1,0.020385742187500056,1000
128x128,0.1,0.020385742187500056,1000
128x128,0.1,0.025268554687500056,1000
128x128,0.1,0.022827148437500056,1000
128x128,0.1,0.016113281250000056,1000
128x128,0.1,0.019775390625000056,1000
128x128,0.1,0.027099609375000056,1000
128x128,0.1,0.029541015625000056,1000
128x128,0.2,0.020385742187500056,1000
128x128,0.2,0.020080566406250056,1000
128x128,0.2,0.017944335937500056,1000
128x128,0.2,0.023132324218750056,1000
128x128,0.2,0.021911621093750056,1000
128x128,0.2,0.032287597656250056,1000
128x128,0.2,0.028320312500000056,1000
128x128,0.2,0.016113281250000056,1000
128x128,0.2,0.022216796875000056,1000
128x128,0.2,0.027099609375000056,1000
128x128,0.4,0.020996093750000056,1000
128x128,0.4,0.022369384765625056,1000
128x128,0.4,0.021301269531250056,1000
128x128,0.4,0.020843505859375056,1000
128x128,0.4,0.022064208984375056,1000
128x128,0.4,0.024047851562500056,1000
128x128,0.4,0.021453857421875056,1000
128x128,0.4,0.015960693359375056,1000
128x128,0.4,0.023895263671875056,1000
128x128,0.4,0.023742675781250056,1000
128x128,0.8,0.025878906250000056,1000
128x128,0.8,0.023437500000000056,1000
128x128,0.8,0.018630981445312556,1000
128x128,0.8,0.021835327148437556,1000
128x128,0.8,0.021606445312500056,1000
128x128,0.8,0.022750854492187556,1000
128x128,0.8,0.022369384765625056,1000
128x128,0.8,0.022827148437500056,1000
128x128,0.8,0.018402099609375056,1000
128x128,0.8,0.027404785156250056,1000
